
-------------- ТАБЛИЦА ЛЕКСЕМ  -------------------- Дата: 17.12.2017 12:51:06 ------------ 

|  № | Лексема | Строка | Индекс в ТИ |
| 16 |    =    |     3   |             |
| 17 |    i    |     3   |       1     |
| 18 |    i    |     3   |       2     |
| 19 |    +    |     3   |             |
| 20 |    ;    |     3   |             |
| 21 |    e    |     4   |             |
| 22 |    i    |     4   |       3     |
| 23 |    ;    |     4   |             |
| 24 |    ]    |     5   |             |
| 25 |    p    |     6   |             |
| 26 |    f    |     6   |             |
| 27 |    i    |     6   |       4     |
| 28 |    (    |     6   |             |
| 29 |    t    |     6   |             |
| 30 |    i    |     6   |       5     |
| 31 |    ,    |     6   |             |
| 32 |    t    |     6   |             |
| 33 |    i    |     6   |       6     |
| 34 |    ,    |     6   |             |
| 35 |    t    |     6   |             |
| 36 |    i    |     6   |       7     |
| 37 |    )    |     6   |             |
| 38 |    [    |     6   |             |
| 39 |    n    |     7   |             |
| 40 |    t    |     7   |             |
| 41 |    i    |     7   |       8     |
| 42 |    ;    |     7   |             |
| 43 |    i    |     8   |       8     |
| 44 |    =    |     8   |             |
| 45 |    i    |     8   |       9     |
| 46 |    i    |     8   |       5     |
| 47 |    i    |     8   |       6     |
| 48 |    #    |    -1   |             |
| 49 |    #    |    -1   |             |
| 50 |    #    |    -1   |             |
| 51 |    ;    |     8   |             |
| 52 |    o    |     9   |             |
| 53 |    i    |     9   |       8     |
| 54 |    ;    |     9   |             |
| 55 |    o    |    10   |             |
| 56 |    i    |    10   |       7     |
| 57 |    ;    |    10   |             |
| 58 |    ^    |    11   |             |
| 59 |    ;    |    11   |             |
| 60 |    e    |    12   |             |
| 61 |    ;    |    12   |             |
| 62 |    ]    |    13   |             |
| 63 |    m    |    14   |             |
| 64 |    (    |    14   |             |
| 65 |    )    |    14   |             |
| 66 |    [    |    14   |             |
| 67 |    n    |    15   |             |
| 68 |    t    |    15   |             |
| 69 |    i    |    15   |      10     |
| 70 |    ;    |    15   |             |
| 71 |    i    |    16   |      10     |
| 72 |    =    |    16   |             |
| 73 |    l    |    16   |      11     |
| 74 |    ;    |    16   |             |
| 75 |    n    |    17   |             |
| 76 |    t    |    17   |             |
| 77 |    i    |    17   |      12     |
| 78 |    ;    |    17   |             |
| 79 |    i    |    18   |      12     |
| 80 |    =    |    18   |             |
| 81 |    i    |    18   |      13     |
| 82 |    i    |    18   |      10     |
| 83 |    #    |    -1   |             |
| 84 |    #    |    -1   |             |
| 85 |    ;    |    18   |             |
| 86 |    o    |    19   |             |
| 87 |    i    |    19   |      12     |
| 88 |    ;    |    19   |             |
| 89 |    n    |    20   |             |
| 90 |    t    |    20   |             |
| 91 |    i    |    20   |      14     |
| 92 |    ;    |    20   |             |
| 93 |    i    |    21   |      14     |
| 94 |    =    |    21   |             |
| 95 |    l    |    21   |      15     |
| 96 |    ;    |    21   |             |
| 97 |    n    |    22   |             |
| 98 |    t    |    22   |             |
| 99 |    i    |    22   |      16     |
|100 |    ;    |    22   |             |
|101 |    i    |    23   |      16     |
|102 |    =    |    23   |             |
|103 |    l    |    23   |      17     |
|104 |    ;    |    23   |             |
|105 |    n    |    25   |             |
|106 |    t    |    25   |             |
|107 |    i    |    25   |      18     |
|108 |    ;    |    25   |             |
|109 |    i    |    26   |      18     |
|110 |    =    |    26   |             |
|111 |    i    |    26   |       0     |
|112 |    i    |    26   |      14     |
|113 |    i    |    26   |      16     |
|114 |    @    |    -1   |             |
|115 |    2    |    -1   |             |
|116 |    #    |    -1   |             |
|117 |    ;    |    26   |             |
|118 |    i    |    28   |       4     |
|119 |    (    |    28   |             |
|120 |    l    |    28   |      19     |
